Hired,id,AgeBracket,TravelPreference,HiringDepartment,DistanceFromHome,EducationLevel,EducationField,Gender,Role,Internships,StandardHours,Summary,ExtraCurriculars
No,AA19971,40 and Over,Travel_Rarely,Research & Development,1,5,Life Sciences,Male,Research Scientist,1,8.00E+01,"I am a Life Sciences education, and wish to start my career in a corporate role in a role in the corporate sector.  I have completed 1 internships, building valuable work experience.  I am very dedicated  and I am a good match for the role.","Rowing, Athletics, Basketball, Debating, Rowing, Tennis"
No,AA19972,40 and Over,Non-Travel,Research & Development,1,4,Medical,Male,Manufacturing Director,0,8.00E+01,"Hi there. I am applying for a role after completing my Medical education, and wish to start my career in a corporate role in a role in the corporate sector.  I have already done 0 internships. As you can see, I am very dedicated and I am ready to start at your firm immediately.",Athletics
No,AA19973,Under 40,Travel_Rarely,Research & Development,1,3,Other,Male,Manager,0,8.00E+01,"Recently I completed my Other education, and wish to start my career in a corporate role in a role in the corporate sector.  So far I have completed 0 internships. As you can see, I am very dedicated and I am ready to start at your firm immediately.",Football
No,AA19974,40 and Over,Travel_Rarely,Research & Development,8,1,Medical,Male,Laboratory Technician,1,8.00E+01,"Hi there. I am applying for a role after completing my Medical education, and wish to start my career in a corporate roleworking for you in this role.  I have already done 1 internships. As you can see, I am very dedicated and I am ready to start at your firm immediately.",Basketball
No,AA19975,40 and Over,Travel_Rarely,Research & Development,22,3,Life Sciences,Male,Manager,7,8.00E+01,"Hi there. I am a Life Sciences education, and wish to start my career in a corporate role in the corporate sector.  So far I have completed 7 internships, and can provide references.  I am a hard worker  and would be a good additional at your firm.",Hockey
No,AA19976,40 and Over,Travel_Frequently,Research & Development,1,4,Other,Male,Healthcare Representative,1,8.00E+01,"Hi there. I am a Other major, with a passion to work in the corporate sector. I have done  working for your company.  I have done 1 internships, and can provide references.  As you can see, I am a hard worker  and I am a good match for the role.",Rowing
No,AA19977,Under 40,Travel_Rarely,Research & Development,7,2,Medical,Male,Manufacturing Director,6,8.00E+01,"I am a Medical major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  So far I have completed 6 internships, and can provide references.  I am very dedicated  and I hope to hear from you soon.",Hockey
No,AA19978,40 and Over,Travel_Rarely,Research & Development,1,3,Medical,Male,Healthcare Representative,0,8.00E+01,"Recently I completed my Medical major, with a passion to work in the corporate sector. I have done  in a corporate role.  So far I have completed 0 internships, building valuable work experience. As you can see, I am very dedicated and I am ready to start at your firm immediately.",Tennis
No,AA19979,Under 40,Travel_Rarely,Sales,12,4,Marketing,Male,Sales Executive,3,8.00E+01,"Recently I completed my Marketing major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  Already I have done 3 internships, and can provide references.  I am highly motivated  and I am a good match for the role.",Hockey
No,AA19980,Under 40,Travel_Frequently,Research & Development,27,3,Life Sciences,Male,Manufacturing Director,8,8.00E+01,"Hi there. I am a Life Sciences education, and wish to start my career in a corporate role in a corporate role.  Already I have done 8 internships, and can provide references.  I am very dedicated  and I am ready to start at your firm immediately.",Football
