"id","Age","Gender","TravelPreference","HiringDepartment","DistanceFromHome","EducationLevel","EducationField","Role","Internships","Over18","StandardHours","Summary","ExtraCurriculars","AgeBracket"
"586506b5-ce38-11e8-a136-37e1d5c32837","28","Female","Travel_Rarely","Sales","26","3","Life Sciences","Sales Executive","1","Y","80","Recently I completed my Life Sciences education, and wish to start my career in a corporate role in the corporate sector.  I have completed 1 internships.  I am highly motivated  and I am ready to start at your firm immediately.","Womens Debating","Under 40"
"5b91d0ed-ce38-11e8-a136-37e1d5c32837","34","Female","Non-Travel","Sales","1","5","Medical","Sales Executive","4","Y","80","Recently I completed my Medical major, with a passion to work in the corporate sector. I have done  working for your company.  Already I have done 4 internships, and can provide references.  I am a hard worker  and I am ready to start at your firm immediately.","Netball","Under 40"
"5cf7deed-ce38-11e8-a136-37e1d5c32837","21","Female","Travel_Rarely","Research & Development","12","2","Other","Laboratory Technician","1","Y","80","Hi there. I am applying for a role after completing my Other major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have completed 1 internships, building valuable work experience.  I am very dedicated  and I am a good match for the role.","Womens Tennis","Under 40"
"556b524c-ce38-11e8-a136-37e1d5c32837","39","Female","Travel_Rarely","Sales","8","3","Marketing","Sales Executive","5","Y","80","Recently I completed my Marketing major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have already done 5 internships, building work experience.  I am a hard worker  and I hope to hear from you soon.","Womens Rowing, Womens Debating, Netball","Under 40"
"5c9ef7a2-ce38-11e8-a136-37e1d5c32837","39","Female","Travel_Rarely","Research & Development","5","5","Medical","Research Scientist","2","Y","80","I am a Medical education, and wish to start my career in a corporate role in the corporate sector.  I have done 2 internships, building valuable work experience.  I am very dedicated  and I am a good match for the role.","Womens Tennis","Under 40"
"593e2d4a-ce38-11e8-a136-37e1d5c32837","56","Female","Travel_Frequently","Research & Development","2","1","Life Sciences","Laboratory Technician","9","Y","80","Hi there. I am applying for a role after completing my Life Sciences major, with a passion to work in the corporate sector. I have done  in the corporate sector.  Already I have done 9 internships.  I am a hard worker  and would be a good additional at your firm.","Womens Debating","40 and Over"
"53c1dd6d-ce38-11e8-a136-37e1d5c32837","38","Female","Travel_Rarely","Research & Development","23","4","Life Sciences","Healthcare Representative","9","Y","80","Hi there. I am a Life Sciences major, with a passion to work in the corporate sector. I have done working for you in this role.  I have done 9 internships, building valuable work experience.  I am a hard worker  and I am ready to start at your firm immediately.","Hockey","Under 40"
"546a10c4-ce38-11e8-a136-37e1d5c32837","25","Female","Travel_Frequently","Research & Development","1","1","Engineering","Manufacturing Director","5","Y","80","Recently I completed my Engineering major, with a passion to work in the corporate sector. I have done  working for your company.  I have completed 5 internships, and can provide references. As you can see, I am very dedicated and I hope to hear from you soon.","Womens Athletics","Under 40"
"5425e6a7-ce38-11e8-a136-37e1d5c32837","32","Female","Non-Travel","Sales","10","3","Life Sciences","Sales Executive","1","Y","80","Recently I completed my Life Sciences education, and wish to start my career in a corporate role in the corporate sector.  Already I have done 1 internships.  I am highly motivated  and would be a good additional at your firm.","Womens Basketball, Womens Basketball, Hockey","Under 40"
"5d9d537a-ce38-11e8-a136-37e1d5c32837","43","Female","Travel_Rarely","Sales","9","3","Marketing","Sales Executive","8","Y","80","Hi there. I am applying for a role after completing my Marketing education, and wish to start my career in a corporate roleworking for you in this role.  I have done 8 internships, building work experience. As you can see, I am very dedicated and I am ready to start at your firm immediately.","Netball, Netball, Womens Tennis, Netball, Womens Tennis, Womens Athletics","40 and Over"
"51a1ebd1-ce38-11e8-a136-37e1d5c32837","51","Female","Travel_Rarely","Sales","14","2","Life Sciences","Sales Executive","4","Y","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role in a role in the corporate sector.  I have completed 4 internships, building work experience. As you can see, I am very dedicated and I hope to hear from you soon.","Womens Athletics","40 and Over"
"58212ab0-ce38-11e8-a136-37e1d5c32837","26","Female","Non-Travel","Research & Development","24","2","Engineering","Healthcare Representative","1","Y","80","Hi there. I am a Engineering education, and wish to start my career in a corporate roleworking for you in this role.  So far I have completed 1 internships.  As you can see, I am a hard worker  and I am ready to start at your firm immediately.","Hockey","Under 40"
"4fbb0267-ce38-11e8-a136-37e1d5c32837","24","Female","Travel_Rarely","Research & Development","1","3","Medical","Research Scientist","2","Y","80","Hi there. I am applying for a role after completing my Medical education, and wish to start my career in a corporate role in the corporate sector.  I have completed 2 internships, building work experience. As you can see, I am very dedicated and I hope to hear from you soon.","Hockey","Under 40"
"5802f910-ce38-11e8-a136-37e1d5c32837","31","Female","Travel_Rarely","Research & Development","8","4","Life Sciences","Research Scientist","6","Y","80","Recently I completed my Life Sciences education, and wish to start my career in a corporate roleworking for you in this role.  So far I have completed 6 internships, building work experience.  I am highly motivated  and I am ready to start at your firm immediately.","Hockey","Under 40"
"5c5d8c2b-ce38-11e8-a136-37e1d5c32837","48","Female","Travel_Rarely","Research & Development","10","3","Life Sciences","Research Director","4","Y","80","Hi there. I am a Life Sciences major, with a passion to work in the corporate sector. I have done  in a corporate role.  Already I have done 4 internships.  As you can see, I am highly motivated  and I am a good match for the role.","Hockey, Womens Athletics, Womens Tennis","40 and Over"
"5648bdf1-ce38-11e8-a136-37e1d5c32837","51","Female","Travel_Rarely","Research & Development","24","4","Medical","Healthcare Representative","3","Y","80","Hi there. I am a Medical major, with a passion to work in the corporate sector. I have done working for you in this role.  Already I have done 3 internships, and can provide references.  I am a hard worker  and I am ready to start at your firm immediately.","Womens Basketball","40 and Over"
"58001362-ce38-11e8-a136-37e1d5c32837","24","Female","Travel_Frequently","Research & Development","6","3","Other","Laboratory Technician","0","Y","80","Recently I completed my Other education, and wish to start my career in a corporate role working for your company.  Already I have done 0 internships, building work experience.  As you can see, I am highly motivated  and I hope to hear from you soon.","Womens Basketball","Under 40"
